symbol,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score
SHS,29.1,20442600,894462220,26028850602.0,1,1,2
MBS,40.3,15016000,572812981,23084363134.3,3,2,5
PVS,35.1,5283200,477966290,16776616779.0,4,3,7
CEO,25.9,17498100,540406432,13996526588.8,2,7,9
IDC,45.0,2044300,329999929,14849996805.0,5,6,11
HUT,18.2,1717400,892511965,16243717763.0,7,4,11
TNG,21.1,1980300,122601206,2586885446.6000004,6,13,19
VC3,28.7,801400,125150939,3591831949.2999997,10,11,21
NTP,64.8,287500,171038220,11083276656.0,15,8,23
BVS,42.0,577700,72233937,3033825354.0,12,12,24
DTD,21.7,1066700,66686055,1447087393.5,8,17,25
PLC,27.8,343700,80798839,2246207724.2000003,14,14,28
VCS,49.7,98800,160000000,7952000000.0,19,9,28
PVI,65.3,16200,234241867,15295993915.099998,25,5,30
PVC,12.0,1028900,81194463,974333556.0,9,22,31
LAS,19.1,259200,112856400,2155557240.0,16,15,31
L14,42.2,469300,30859515,1302271533.0,13,20,33
LHC,99.9,106400,14400000,1438560000.0,18,18,36
DVM,8.0,591000,42779916,342239328.0,11,29,40
DHT,86.6,1700,82341773,7130797541.799999,30,10,40
DXP,11.2,159900,59910133,670993489.5999999,17,25,42
L18,30.1,32200,45739793,1376767769.3,23,19,42
IDV,27.1,34900,41236777,1117516656.7,22,21,43
SLS,192.0,4200,9791945,1880053440.0,28,16,44
PSD,13.9,67100,51827894,720407726.6,21,24,45
PVB,29.3,72000,21599998,632879941.4,20,26,46
CAP,38.1,24300,15269965,581785666.5,24,27,51
TMB,61.8,3000,15000000,927000000.0,29,23,52
TVD,10.4,6100,44962864,467613785.6,27,28,55
VGP,28.9,11400,8214692,237404598.79999998,26,30,56
