symbol,atr_percentage,rank_atr
CAP,0.6806282722513111,1
TMB,0.9354838709677392,2
SLS,0.9503916449086156,3
IDV,1.3432835820895528,4
TVD,1.3461538461538414,5
VCS,1.3469387755102056,6
PVI,1.6307692307692296,7
VGP,1.9081272084805625,8
VC3,2.042253521126762,9
LAS,2.1739130434782648,10
DHT,2.2538552787663075,11
DXP,2.3423423423423406,12
NTP,2.802547770700632,13
PLC,2.835820895522386,14
PVS,3.195266272189348,15
DVM,3.500000000000001,16
IDC,3.5849056603773626,17
PSD,3.731343283582092,18
TNG,3.799999999999997,19
L18,3.8487972508591053,20
PVB,3.859649122807015,21
DTD,3.981042654028435,22
LHC,4.142857142857145,23
PVC,4.827586206896553,24
BVS,5.4871794871794854,25
HUT,6.391752577319592,26
MBS,6.39784946236559,27
L14,6.44155844155844,28
CEO,6.556016597510371,29
SHS,7.462686567164177,30
