symbol,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score
SHS,26.8,27910600,894462220,23971587496.0,1,1,2
MBS,37.2,8137900,572812981,21308642893.2,3,2,5
HUT,19.4,5435700,892511965,17314732121.0,4,3,7
CEO,24.1,14235500,540406432,13023795011.2,2,7,9
PVS,33.8,2548900,477966290,16155260601.999998,5,4,9
IDC,42.4,1563900,329999929,13991996989.6,7,6,13
VC3,28.4,903300,125150939,3554286667.6,8,11,19
TNG,20.0,479800,122601206,2452024120.0,10,13,23
BVS,39.0,476700,72233937,2817123543.0,11,12,23
NTP,62.8,142300,171038220,10741200216.0,17,8,25
DTD,21.1,521100,66686055,1407075760.5,9,18,27
LAS,18.4,342300,112856400,2076557759.9999998,12,15,27
VCS,49.0,115300,160000000,7840000000.0,18,9,27
PVC,11.6,1616900,81194463,941855770.8,6,22,28
PLC,26.8,269100,80798839,2165408885.2000003,14,14,28
PVI,65.0,9000,234241867,15225721355.0,26,5,31
L14,38.5,324200,30859515,1188091327.5,13,20,33
DHT,84.3,3300,82341773,6941411463.9,28,10,38
DXP,11.1,244200,59910133,665002476.3,15,25,40
L18,29.1,28100,45739793,1331027976.3,21,19,40
LHC,98.0,27100,14400000,1411200000.0,23,17,40
PSD,13.4,101500,51827894,694493779.6,19,24,43
IDV,26.8,27800,41236777,1105145623.6000001,22,21,43
DVM,8.0,238200,42779916,342239328.0,16,29,45
PVB,28.5,40600,21599998,615599943.0,20,26,46
SLS,191.5,1200,9791945,1875157467.5,30,16,46
CAP,38.2,22200,15269965,583312663.0,24,27,51
TMB,62.0,2400,15000000,930000000.0,29,23,52
VGP,28.3,9900,8214692,232475783.6,25,30,55
TVD,10.4,7000,44962864,467613785.6,27,28,55
