rank_spread,symbol,average_spread,close,open,high,low,volume
1,CAP,0.007040753516713528,38.1,38.2,38.2,38.0,17200
2,TMB,0.009294306199224502,62.3,62.8,62.8,62.0,1800
3,IDV,0.009694086006380189,26.8,27.2,27.3,26.7,10500
4,SLS,0.010086141838651775,191.3,192.6,192.8,190.3,2700
5,TVD,0.011367524216693563,10.4,10.5,10.5,10.3,10800
6,VCS,0.01305166941620898,49.0,49.4,49.6,48.9,147200
7,PVI,0.013531723760567767,64.4,65.3,65.5,64.4,88500
8,VGP,0.015151131288879634,28.6,28.9,28.9,28.5,15200
9,VC3,0.016759304977441034,28.1,27.9,28.2,27.9,917000
10,LAS,0.018046694547702604,18.5,19.0,19.0,18.4,624900
11,DXP,0.021902897028914695,10.9,11.2,11.2,10.9,349500
12,DHT,0.023890147363471784,84.0,85.5,85.5,84.0,7700
13,NTP,0.02562109241999544,62.3,63.2,63.2,62.1,169700
14,PLC,0.028776086446812503,26.8,27.4,27.4,26.5,472000
15,PVB,0.030881192380719385,28.5,29.3,29.3,28.5,61300
16,DVM,0.03228260700499975,7.9,8.2,8.3,7.9,672100
17,PSD,0.03340631938784061,13.1,13.8,13.8,13.1,391300
18,PVS,0.03366785283160566,33.7,35.2,35.5,33.7,5565800
19,LHC,0.03460032195093113,98.4,97.0,99.5,96.0,16400
20,TNG,0.034684826885531046,19.8,20.7,20.9,19.8,1698400
21,PVC,0.03781893602700647,11.6,12.2,12.3,11.6,1322400
22,IDC,0.04033561163585654,42.4,44.0,44.2,42.4,2435400
23,DTD,0.04253261376215917,21.1,22.3,22.3,21.0,916100
24,L18,0.04428870545867089,29.1,29.7,29.7,29.1,70300
25,HUT,0.04797511218568075,19.0,19.2,20.2,19.0,6473400
26,BVS,0.05498828421643126,38.2,39.4,40.0,38.2,1027600
27,L14,0.06867200678298396,37.5,40.7,40.7,37.5,787800
28,CEO,0.07004390197903827,23.7,25.8,26.0,23.7,28920600
29,MBS,0.07383823267014371,36.3,38.5,38.9,36.2,10934500
30,SHS,0.08660936294495056,25.3,27.0,27.5,25.1,57663000
