symbol,close,volume,issue_share,marketcap,weekly_avg_turnover,turnover_rank,total_score
CEO,24.1,14235500,540406432,13023795011.2,0.042813295012743294,1,9
SHS,26.8,27910600,894462220,23971587496.0,0.039060364114652045,2,2
PVC,11.6,1616900,81194463,941855770.8,0.02347401447805622,3,28
MBS,37.2,8137900,572812981,21308642893.2,0.022195237226999925,4,5
L14,38.5,324200,30859515,1188091327.5,0.01747856374281968,5,33
DVM,8.0,238200,42779916,342239328.0,0.016380583823493246,6,45
DTD,21.1,521100,66686055,1407075760.5,0.016186592534226236,7,27
BVS,39.0,476700,72233937,2817123543.0,0.010679744619208559,8,23
PVS,33.8,2548900,477966290,16155260601.999998,0.010601542631803594,9,9
TNG,20.0,479800,122601206,2452024120.0,0.010525997599077451,10,23
VC3,28.4,903300,125150939,3554286667.6,0.007585400537825767,11,19
IDC,42.4,1563900,329999929,13991996989.6,0.007061577276884809,12,13
HUT,19.4,5435700,892511965,17314732121.0,0.005942911924995874,13,7
PLC,26.8,269100,80798839,2165408885.2000003,0.005679041997125727,14,28
LAS,18.4,342300,112856400,2076557760.0,0.0040339759198414985,15,27
PVB,28.5,40600,21599998,615599943.0,0.004012963334533642,16,46
DXP,11.1,244200,59910133,665002476.3,0.00364178794261732,17,40
PSD,13.4,101500,51827894,694493779.6,0.0030940867479585417,18,43
LHC,98.0,27100,14400000,1411200000.0,0.0029944444444444445,19,40
VGP,28.3,9900,8214692,232475783.6,0.0018065193436345515,20,55
NTP,62.8,142300,171038220,10741200216.0,0.0015115919704964188,21,25
L18,29.1,28100,45739793,1331027976.3,0.0013366916636461386,22,40
CAP,38.2,22200,15269965,583312663.0,0.001021613343580028,23,51
VCS,49.0,115300,160000000,7840000000.0,0.0007156249999999999,24,27
IDV,26.8,27800,41236777,1105145623.6,0.0005965548665454626,25,43
SLS,191.5,1200,9791945,1875157467.5,0.00043913645348293937,26,46
TMB,62.0,2400,15000000,930000000.0,0.0003346666666666667,27,52
TVD,10.4,7000,44962864,467613785.6,0.0003313845843983604,28,55
PVI,65.0,9000,234241867,15225721355.0,0.00020662403617197943,29,31
DHT,84.3,3300,82341773,6941411463.9,6.412298166083939e-05,30,38
