symbol,close,volume,issue_share,marketcap,weekly_average_val,sd_val,cv_val,cv_val_rank,weekly_val_rank,combined_score,volume_trading_deviation_rank,total_score
CEO,24.1,14235500,540406432,13023795011.2,582192516.0,184365047.07104984,0.3166736809633771,6,2,8,1,9
VC3,28.4,903300,125150939,3554286667.6,27032718.0,3250794.65176132,0.12025408069441333,1,8,9,2,19
SHS,26.8,27910600,894462220,23971587496.0,942406940.0,327913444.8552871,0.34795313036986664,8,1,9,3,2
BVS,39.0,476700,72233937,2817123543.0,30825900.0,9133091.906602604,0.29627981361785394,4,7,11,4,23
PVS,33.8,2548900,477966290,16155260601.999998,175636880.0,64907477.74505184,0.369554946233683,9,4,13,5,9
IDC,42.4,1563900,329999929,13991996989.6,102029424.0,38333305.833218716,0.37570834304836137,11,5,16,6,13
MBS,37.2,8137900,572812981,21308642893.2,491240170.0,226459693.262126,0.46099587756051386,13,3,16,7,5
L14,38.5,324200,30859515,1188091327.5,21637564.0,6750525.129371789,0.3119817521682103,5,12,17,8,33
VCS,49.0,115300,160000000,7840000000.0,5631876.0,997133.3121905015,0.17705171637133016,2,17,19,9,27
PLC,26.8,269100,80798839,2165408885.2000003,12557528.0,4256757.217944195,0.3389805077833945,7,14,21,10,28
TNG,20.0,479800,122601206,2452024120.0,26440040.0,12226302.485308059,0.4624161871656797,14,9,23,11,23
HUT,19.4,5435700,892511965,17314732121.0,100846266.0,62458980.53853009,0.6193484698633273,19,6,25,12,7
NTP,62.8,142300,171038220,10741200216.0,16471608.0,8038683.43526289,0.4880327066588089,16,13,29,13,25
LAS,18.4,342300,112856400,2076557760.0,8545244.0,3966103.3647183226,0.4641299142210945,15,15,30,14,27
VGP,28.3,9900,8214692,232475783.6,426776.0,123198.29191186054,0.2886720244621547,3,28,31,15,55
PVC,11.6,1616900,81194463,941855770.8,22792676.0,14217730.608577447,0.6237850530836067,20,11,31,16,28
DTD,21.1,521100,66686055,1407075760.5,23316158.0,14955611.456656327,0.6414269219078172,21,10,31,17,27
DXP,11.1,244200,59910133,665002476.3,2413014.0,955683.4795998097,0.39605384784332365,12,21,33,18,40
IDV,26.8,27800,41236777,1105145623.6,664254.0,246256.06018938904,0.37072574676161385,10,25,35,19,43
DVM,8.0,238200,42779916,342239328.0,5637490.0,4216498.805478307,0.7479390305753637,22,16,38,20,45
L18,29.1,28100,45739793,1331027976.3,1812356.0,1072962.0844792232,0.5920261165462102,18,23,41,21,40
CAP,38.2,22200,15269965,583312663.0,594992.0,316026.7136968013,0.5311444753825283,17,26,43,22,51
PVB,28.5,40600,21599998,615599943.0,2527476.0,1950000.789622917,0.7715209915437049,23,20,43,23,46
LHC,98.0,27100,14400000,1411200000.0,4260474.0,3633800.1928532063,0.8529098388707937,25,18,43,24,40
PVI,65.0,9000,234241867,15225721355.0,3146630.0,2961534.61904466,0.9411766299325501,26,19,45,25,31
PSD,13.4,101500,51827894,694493779.6,2156246.0,1707785.5060662625,0.7920179358321187,24,22,46,26,43
SLS,191.5,1200,9791945,1875157467.5,825224.0,783444.6817293484,0.9493721483249983,27,24,51,27,46
DHT,84.3,3300,82341773,6941411463.9,451712.0,438259.89215304656,0.9702197244107895,28,27,55,28,38
TVD,10.4,7000,44962864,467613785.6,155082.0,173186.57921444144,1.1167419765958748,29,30,59,29,55
TMB,62.0,2400,15000000,930000000.0,313804.0,398237.6798847643,1.2690650211111532,30,29,59,30,52
