symbol,atr_percentage,rank_atr
KOS,0.7918263090676905,1
SBT,0.9072164948453649,2
SCS,1.1036789297658878,3
BWE,1.2847965738758027,4
SAB,1.2958963282937335,5
KDC,1.3035381750465547,6
PPC,1.5668202764976917,7
VNM,1.8242122719734664,8
PLX,1.9181946403385122,9
GAS,1.9645732689211,10
VRE,1.9801980198019826,11
BCM,2.179675994108985,12
PTB,2.2568093385214,13
PNJ,2.2637106184364066,14
VHC,2.264150943396225,15
FPT,2.2918707149853064,16
CTG,2.2983870967741944,17
REE,2.299546142208773,18
PHR,2.3104693140794224,19
DGC,2.343096234309621,20
CTD,2.3701731025299617,21
NAB,2.4104234527687316,22
FRT,2.4180967238689552,23
CTR,2.5028441410694002,24
ACB,2.5235404896421882,25
PVT,2.584269662921349,26
TCB,2.623376623376626,27
VJC,2.731034482758618,28
VHM,2.859960552268247,29
CMG,2.9286608260325413,30
STB,2.9520295202952003,31
SZC,3.0248175182481756,32
SIP,3.0323679727427617,33
VCB,3.050847457627116,34
BID,3.0750307503075067,35
VIC,3.0959752321981426,36
DPM,3.1060606060606073,37
GVR,3.1468531468531467,38
FTS,3.148148148148142,39
DGW,3.209580838323351,40
DBC,3.2688927943761,41
DCM,3.3066666666666604,42
BVH,3.30985915492958,43
NT2,3.317757009345792,44
MBB,3.3395872420262664,45
VCG,3.3398821218074657,46
GMD,3.3431085043988285,47
VTP,3.380281690140847,48
VPI,3.408695652173912,49
BMP,3.5372340425531905,50
HDB,3.5816164817749594,51
NLG,3.6038186157517824,52
IMP,3.642987249544627,53
MWG,3.657894736842099,54
MSN,3.67901234567901,55
SSB,3.765903307888036,56
HT1,3.7790697674418485,57
PAN,3.874999999999999,58
OCB,3.8783269961977145,59
PVD,3.9729119638826207,60
SHB,3.9772727272727315,61
VIB,3.9904988123515404,62
KDH,4.022988505747131,63
PC1,4.061895551257253,64
LPB,4.089834515366434,65
HAG,4.090909090909096,66
HCM,4.229390681003584,67
TPB,4.267352185089973,68
TLG,4.394785847299815,69
VGC,4.559585492227978,70
VCI,4.587973273942093,71
SJS,4.611111111111113,72
EIB,4.669117647058824,73
EVF,4.736842105263158,74
HHV,4.745762711864407,75
HPG,4.8180242634315436,76
GEE,4.855491329479773,77
VPB,4.876543209876543,78
SSI,4.904761904761907,79
MSB,5.085714285714284,80
GEX,5.106382978723403,81
POW,5.131578947368428,82
VND,5.346938775510204,83
HSG,5.427135678391963,84
DXG,5.489361702127659,85
ANV,5.516014234875445,86
BSI,5.5688622754491,87
TCH,5.596330275229362,88
DIG,5.6082474226804155,89
KBC,5.788787483702738,90
CTS,5.804816223067174,91
HDG,5.8496732026143805,92
HDC,5.9044862518089785,93
NKG,5.905292479108634,94
DSE,5.972696245733788,95
DXS,5.984848484848481,96
VIX,6.056338028169017,97
CII,6.68161434977579,98
VSC,6.965517241379306,99
PDR,7.019027484143764,100
