symbol,atr_rank,spread_rank,vtd_rank,turnover_rank,amihud_rank,combined_rank,total_rank,final_score,final_rank
VNM,8,11,21,75,18,8.0,125,16.0,1.0
FPT,16,28,1,51,5,2.0,85,18.0,2.0
CTG,17,29,12,78,9,9.0,128,26.0,3.0
DGC,20,20,26,50,35,13.0,131,33.0,4.0
VJC,28,22,7,61,27,6.0,117,34.0,5.0
STB,31,40,19,59,11,11.0,129,42.0,6.0
SBT,2,5,44,83,44,41.0,176,43.0,7.0
KOS,1,1,48,80,60,46.0,189,47.0,8.0
VRE,11,18,70,76,8,38.0,172,49.0,9.0
TCB,27,45,37,66,2,24.0,150,51.0,10.0
ACB,25,49,31,63,10,27.0,153,52.0,11.0
PVT,26,14,41,39,63,30.0,157,56.0,12.0
MSN,55,35,15,42,4,3.0,96,58.0,13.0
VHC,15,12,76,48,51,45.0,187,60.0,14.0
MBB,45,63,25,41,3,15.0,132,60.0,14.0
GAS,10,8,45,98,53,52.0,204,62.0,16.0
DBC,41,25,55,16,50,22.0,146,63.0,17.0
VCG,46,44,33,20,38,17.0,135,63.0,17.0
SCS,3,7,66,70,76,60.0,219,63.0,17.0
SHB,61,76,3,13,7,4.0,99,65.0,20.0
MWG,54,53,13,45,20,13.0,131,67.0,21.0
VPI,49,50,20,38,33,19.0,141,68.0,22.0
KDC,6,2,56,85,80,62.0,223,68.0,22.0
VHM,29,37,28,92,17,40.0,174,69.0,24.0
DPM,37,23,62,29,47,32.0,161,69.0,24.0
FTS,39,46,38,34,49,35.0,167,74.0,26.0
VCB,34,55,18,87,16,41.0,176,75.0,27.0
SAB,5,6,61,94,70,70.0,231,75.0,27.0
PLX,9,10,80,82,55,66.0,227,75.0,27.0
CTD,21,17,59,56,75,54.0,207,75.0,27.0
HPG,76,48,6,25,1,1.0,80,77.0,31.0
BWE,4,4,54,96,88,74.0,242,78.0,32.0
DCM,42,39,53,40,41,39.0,173,81.0,33.0
HDB,51,56,30,54,19,31.0,159,82.0,34.0
GMD,47,58,17,44,52,36.0,171,83.0,35.0
VIC,36,66,11,97,24,48.0,198,84.0,36.0
SSI,79,88,4,11,6,5.0,109,84.0,36.0
SZC,32,24,87,31,65,54.0,207,86.0,38.0
PTB,13,9,82,65,95,75.0,251,88.0,39.0
REE,18,13,89,72,58,71.0,232,89.0,40.0
GEX,81,41,23,32,32,9.0,128,90.0,41.0
FRT,23,21,73,67,69,68.0,230,91.0,42.0
PNJ,14,16,90,74,74,77.0,254,91.0,42.0
HCM,67,70,46,10,26,25.0,152,92.0,44.0
PPC,7,3,95,79,94,87.0,271,94.0,45.0
BID,35,61,57,86,21,64.0,225,99.0,46.0
VCI,71,74,34,18,30,28.0,156,99.0,46.0
PHR,19,15,91,71,84,80.0,261,99.0,46.0
DGW,40,42,69,33,73,59.0,217,99.0,46.0
NLG,52,52,63,35,48,48.0,198,100.0,50.0
NKG,94,72,10,1,34,6.0,117,100.0,50.0
VND,83,95,24,9,12,18.0,140,101.0,52.0
TPB,68,90,32,26,15,33.0,163,101.0,52.0
DIG,89,96,9,2,23,12.0,130,101.0,52.0
PVD,60,31,77,23,45,41.0,176,101.0,52.0
VPB,78,85,2,52,13,25.0,152,103.0,56.0
HHV,75,60,43,7,46,28.0,156,103.0,56.0
BCM,12,19,92,99,78,91.0,288,103.0,56.0
HSG,84,67,29,6,43,21.0,145,105.0,59.0
EIB,73,78,14,37,37,34.0,166,107.0,60.0
NAB,22,33,74,81,82,85.0,270,107.0,60.0
DXG,85,82,16,12,39,23.0,149,108.0,62.0
CTR,24,30,93,68,79,85.0,270,109.0,63.0
VIX,97,97,8,15,14,16.0,134,113.0,64.0
HAG,66,62,78,27,31,48.0,198,114.0,65.0
CMG,30,34,83,62,89,84.0,268,114.0,65.0
VIB,62,81,36,58,29,52.0,204,114.0,65.0
GVR,38,26,84,90,54,77.0,254,115.0,68.0
NT2,44,54,51,49,86,73.0,240,117.0,69.0
CII,98,100,5,3,36,20.0,144,118.0,70.0
PC1,64,59,58,28,66,57.0,211,121.0,71.0
KDH,63,79,67,47,28,61.0,221,124.0,72.0
SIP,33,32,96,84,96,94.0,308,127.0,73.0
MSB,80,84,40,30,40,47.0,194,127.0,73.0
VTP,48,36,79,64,85,82.0,264,130.0,75.0
LPB,65,51,27,91,61,68.0,230,133.0,76.0
KBC,90,83,50,24,25,44.0,182,134.0,77.0
PDR,100,98,47,4,22,36.0,171,136.0,78.0
EVF,74,80,68,19,57,63.0,224,137.0,79.0
BVH,43,43,81,93,91,94.0,308,137.0,79.0
HDG,92,86,22,22,68,48.0,198,140.0,81.0
BMP,50,38,94,77,93,93.0,302,143.0,82.0
SSB,56,68,39,89,81,89.0,277,145.0,83.0
POW,82,77,64,43,42,65.0,226,147.0,84.0
OCB,59,75,72,60,67,88.0,274,147.0,84.0
PAN,58,57,75,53,97,90.0,282,148.0,86.0
IMP,53,27,99,95,99,96.0,320,149.0,87.0
HDC,93,94,49,5,64,58.0,212,151.0,88.0
VGC,70,64,60,69,71,82.0,264,152.0,89.0
TCH,88,92,65,14,56,66.0,227,154.0,90.0
VSC,99,99,42,8,59,56.0,208,155.0,91.0
HT1,57,69,98,73,92,99.0,332,156.0,92.0
ANV,86,73,85,17,62,72.0,237,158.0,93.0
TLG,69,47,97,55,98,92.0,297,161.0,94.0
BSI,87,87,52,46,77,81.0,262,168.0,95.0
CTS,91,91,71,21,72,79.0,255,170.0,96.0
DXS,96,93,35,36,87,75.0,251,171.0,97.0
SJS,72,71,100,100,100,100.0,371,172.0,98.0
GEE,77,65,86,88,83,97.0,322,174.0,99.0
DSE,95,89,88,57,90,98.0,324,193.0,100.0
