symbol,time,open,high,low,close,volume,issue_share,marketcap,rank_volume,rank_marketcap,total_score
HPG,2025-09-09,29.2,29.25,28.2,28.85,73861200,7675465855,221437189916.75,1,8,9
VPB,2025-09-09,31.5,32.55,31.35,32.4,39698200,7933923601,257059124672.4,4,7,11
TCB,2025-09-09,38.55,38.65,37.85,38.5,27379900,7064851739,271996791951.5,8,5,13
MBB,2025-09-09,26.7,27.0,26.3,26.65,32840700,6102272659,162625566362.35,6,10,16
SSI,2025-09-09,40.55,42.0,39.3,42.0,51995900,1973863918,82902284556.0,3,20,23
SHB,2025-09-09,17.3,17.7,17.2,17.6,70080800,4065747002,71557147235.20001,2,23,25
ACB,2025-09-09,26.95,26.95,26.45,26.55,15204500,5136656599,136378232703.45,15,12,27
VIX,2025-09-09,32.6,35.5,31.55,35.5,38455200,1531429858,54365759959.0,5,28,33
HDB,2025-09-09,30.7,31.55,30.55,31.55,13478200,3510142254,110744988113.7,18,18,36
CTG,2025-09-09,49.5,49.8,48.85,49.6,7573900,5369991748,266351590700.80002,30,6,36
VCB,2025-09-09,65.5,66.2,64.5,64.9,6192300,8355675094,542283313600.60004,37,1,38
TPB,2025-09-09,19.45,19.6,19.05,19.45,21852800,2641956196,51386048012.2,12,29,41
VND,2025-09-09,24.5,24.5,23.65,24.5,28517100,1522299908,37296347746.0,7,36,43
FPT,2025-09-09,102.0,103.0,101.0,102.1,6460700,1703507121,173928077054.09998,35,9,44
VIB,2025-09-09,20.95,21.15,20.6,21.05,10440300,3404005710,71654320195.5,24,22,46
BID,2025-09-09,40.65,41.0,40.35,40.65,4248700,7021361917,285418361926.05,43,4,47
MWG,2025-09-09,74.6,76.0,73.7,76.0,6933700,1479693177,112456681452.0,33,17,50
EIB,2025-09-09,26.75,27.25,26.4,27.2,10766300,1868810607,50831648510.4,23,30,53
MSN,2025-09-09,81.0,81.3,79.8,81.0,6003800,1445915457,117119152017.0,38,15,53
MSB,2025-09-09,14.0,14.15,13.7,14.0,13676900,2600000000,36400000000.0,17,37,54
STB,2025-09-09,53.9,54.3,53.1,54.2,6237400,1885215716,102178691807.20001,36,19,55
VHM,2025-09-09,100.0,101.4,98.8,101.4,2851500,4107412004,416491577205.60004,54,3,57
KBC,2025-09-09,39.1,39.25,37.7,38.35,13274300,941754759,36116295007.65,19,39,58
VIC,2025-09-09,125.0,129.6,124.1,129.2,2659700,3823661561,494017073681.19995,59,2,61
PDR,2025-09-09,23.5,23.8,22.95,23.65,21111600,979809379,23172491813.35,13,49,62
DXG,2025-09-09,22.65,23.5,22.5,23.5,20597800,1020631675,23984844362.5,14,48,62
POW,2025-09-09,15.35,15.55,14.95,15.2,12456900,2341871600,35596448320.0,21,41,62
VNM,2025-09-09,60.6,61.0,60.1,60.3,3516800,2089955445,126024313333.5,48,14,62
