rank_spread,symbol,average_spread,close,open,high,low,volume
1,KOS,0.007678454759345973,39.1,39.05,39.25,39.05,392400
2,KDC,0.010511275542626403,54.4,54.1,54.5,53.9,461700
3,PPC,0.013969512383758329,10.85,10.95,11.05,10.8,934400
4,BWE,0.014280045719513147,47.0,47.95,47.95,47.0,138700
5,SBT,0.014375554306459802,24.25,24.4,24.4,24.15,1392800
6,SAB,0.014603260403507005,46.8,47.5,47.55,46.75,869100
7,SCS,0.01590720636245511,60.0,60.2,60.5,60.0,307422
8,GAS,0.01673760967351177,62.6,63.8,64.2,62.6,1298636
9,PTB,0.01830014835361317,51.9,50.9,52.5,50.9,352200
10,PLX,0.018344043928296496,35.5,36.5,36.6,35.5,3117400
11,VNM,0.020233930032383766,60.6,60.9,61.9,60.6,6958800
12,VHC,0.02111229196227866,58.1,58.5,59.6,58.0,2043100
13,REE,0.02113485366969101,66.8,67.2,68.2,66.6,1391300
14,PVT,0.023004922382945908,17.9,18.3,18.45,17.9,4086900
15,PHR,0.023144044704282496,55.6,56.7,57.2,55.6,365964
16,PNJ,0.024428265846173622,84.8,86.5,87.2,84.8,749500
17,CTD,0.024481029665727683,75.0,76.5,77.8,75.0,656300
18,VRE,0.024814140460947584,30.3,30.3,30.85,30.25,4186600
19,BCM,0.025092200637502428,66.9,67.5,67.5,66.4,309700
20,DGC,0.02559768243583896,96.2,97.7,98.6,95.9,2292200
21,FRT,0.026861605465696322,130.0,132.6,132.6,128.5,470400
22,VJC,0.027073293867342866,141.9,141.0,142.6,139.2,2161700
23,DPM,0.027078670906663813,26.5,27.3,27.65,26.45,4295700
24,SZC,0.02848498584069756,34.6,35.3,35.9,34.6,1361569
25,DBC,0.02877977765536209,26.9,27.6,27.95,26.9,8359300
26,GVR,0.02957948041510268,28.8,30.3,30.3,28.8,4599400
27,IMP,0.029942622591407994,55.4,54.4,55.5,52.8,210100
28,FPT,0.030320075031031027,101.9,103.0,103.9,101.9,10600300
29,CTG,0.03042519797174254,49.5,50.0,50.1,49.05,14767400
30,CTR,0.03168687602861095,87.5,90.8,90.8,87.5,479600
31,PVD,0.03192386956430597,22.2,22.7,23.3,22.2,10013400
32,SIP,0.03214760048537016,59.5,61.2,61.6,59.5,356600
33,NAB,0.032390310134117396,15.5,15.85,15.9,15.5,3876600
34,CMG,0.03279778581849782,39.7,40.6,40.75,39.6,923700
35,MSN,0.03281928090671274,81.0,82.6,83.3,80.0,13945500
36,VTP,0.03334456885535418,99.3,102.6,102.6,99.3,522300
37,VHM,0.03360891727239722,100.0,99.0,101.0,98.8,3227000
38,BMP,0.03364371678467612,152.6,149.9,154.5,149.9,189300
39,DCM,0.03383110803089413,37.7,39.1,39.5,37.7,5176200
40,STB,0.03391546039075192,54.0,55.7,56.2,53.9,11396400
41,GEX,0.03425267780656467,50.2,54.0,54.0,50.2,14403300
42,DGW,0.03451847357666163,41.3,42.75,42.95,41.2,2236000
