symbol,close,volume,issue_share,marketcap,weekly_avg_turnover,turnover_rank,total_score
NKG,17.95,25184400,447570881,8033897313.95,0.07423078982656157,1,95
DIG,24.25,24656800,646431191,15675956381.75,0.054460398090537064,2,69
CII,22.3,22594700,624939021,13936140168.3,0.047169466155002664,3,74
PDR,23.65,21111600,979809379,23172491813.35,0.037217259582896886,4,62
HDC,34.55,3918000,178354966,6162164075.299999,0.03591568064328526,5,141
HSG,19.9,13794800,620982309,12357547949.099998,0.03410074601658257,6,82
HHV,14.75,9248200,497433003,7337136794.25,0.0301705353474506,7,118
VSC,29.0,8364400,374370362,10856740498.0,0.029544913600826124,8,102
VND,24.5,28517100,1522299908,37296347746.0,0.028584052177450435,9,43
HCM,27.9,12051600,720811532,20110641742.8,0.027999496545235626,10,74
SSI,42.0,51995900,1973863918,82902284556.0,0.02664890903588623,11,23
DXG,23.5,20597800,1020631675,23984844362.5,0.025790028513469364,12,62
SHB,17.6,70080800,4065747002,71557147235.20001,0.025154044250587138,13,25
TCH,21.8,6978000,668215843,14567105377.4,0.022808174274311543,14,93
VIX,35.5,38455200,1531429858,54365759959.0,0.022596281389728527,15,33
DBC,28.45,12498200,384866667,10949456676.15,0.022201662894334263,16,92
ANV,28.1,3303000,266667500,7493356750.0,0.01988056287324102,17,141
VCI,44.9,10043800,722600000,32444740000.0,0.019589842236368667,18,67
EVF,13.3,9008300,760565802,10115525166.6,0.01900059135185781,19,104
VCG,25.45,7570500,646468336,16452619151.2,0.018133355258408205,20,87
CTS,39.45,2242000,212693438,8390756129.1,0.018076251134743516,21,147
HDG,30.6,5853300,369963035,11320868871.0,0.016852224168828107,22,110
PVD,22.15,4467400,556296006,12321956532.9,0.01669668647594065,23,108
KBC,38.35,13274300,941754759,36116295007.65,0.015366484598778651,24,58
HPG,28.85,73861200,7675465855,221437189916.75,0.014890551552066023,25,9
TPB,19.45,21852800,2641956196,51386048012.2,0.014256580051185677,26,41
HAG,15.4,9681200,1057467947,16285006383.8,0.013529109833151282,27,83
PC1,25.85,2737000,357642121,9245048827.85,0.012712764333482968,28,136
DPM,26.4,3508400,391400000,10332960000.0,0.012471231476750128,29,123
MSB,14.0,13676900,2600000000,36400000000.0,0.011820812076923076,30,54
SZC,34.25,1909600,179985863,6164515807.75,0.011228126289007486,31,159
GEX,51.7,6795700,902398948,46654025611.600006,0.011053027069796629,32,65
DGW,41.75,967600,219320169,9156617055.75,0.010675899123532045,33,155
FTS,37.8,2746000,346498009,13097624740.2,0.01032052106250342,34,120
NLG,41.9,2573500,385075304,16134655237.6,0.010285884238372242,35,118
DXS,13.2,4319300,579103124,7644161236.799999,0.009961231015566063,36,130
EIB,27.2,10766300,1868810607,50831648510.4,0.00936421268931721,37,53
VPI,57.5,2755500,320049577,18402850677.5,0.009204261501023636,38,110
PVT,17.8,3994400,469931235,8364775983.0,0.008392547049995517,39,130
DCM,37.5,3440400,529400000,19852500000.0,0.00817925953910087,40,103
MBB,26.65,32840700,6102272659,162625566362.35,0.007766552340151669,41,16
