symbol,close,volume,issue_share,marketcap,weekly_average_val,sd_val,cv_val,cv_val_rank,weekly_val_rank,combined_score,volume_trading_deviation_rank,total_score
FPT,102.1,6460700,1703507121,173928077054.09998,962932800.0,192702064.5246891,0.20011995076363492,11,9,20,1,44
VPB,32.4,39698200,7933923601,257059124672.4,1383989556.0,314545777.9361022,0.2272746760063717,16,4,20,2,11
SHB,17.6,70080800,4065747002,71557147235.20001,1851814836.0,440009243.498677,0.23760974096584947,19,3,22,3,25
SSI,42.0,51995900,1973863918,82902284556.0,2162780216.0,531609240.87753505,0.24579901228277884,23,2,25,4,23
CII,22.3,22594700,624939021,13936140168.3,674721142.0,150175724.48620224,0.2225745054335384,15,16,31,5,74
HPG,28.85,73861200,7675465855,221437189916.75,3309394642.0,889415214.8163329,0.2687546548630488,31,1,32,6,9
VJC,145.0,2383000,541611334,78533643430.0,306245166.0,24065633.786974736,0.07858290173623421,1,35,36,7,83
VIX,35.5,38455200,1531429858,54365759959.0,1231458731.0,332013870.79408884,0.2696102292640198,32,6,38,8,33
DIG,24.25,24656800,646431191,15675956381.75,874129374.0,228700563.53563404,0.26163239714632225,27,12,39,9,69
NKG,17.95,25184400,447570881,8033897313.95,592479145.0,141818243.72928837,0.23936411083176332,22,19,41,10,95
VIC,129.2,2659700,3823661561,494017073681.2,284234148.0,35898864.98978092,0.12630032401940994,4,38,42,11,61
CTG,49.6,7573900,5369991748,266351590700.8,528905444.0,132723966.81829654,0.250940821887809,24,23,47,12,36
MWG,76.0,6933700,1479693177,112456681452.0,763727998.0,207192778.15117863,0.2712913219022496,33,14,47,13,50
EIB,27.2,10766300,1868810607,50831648510.4,499433686.0,127688114.42128582,0.25566580308979364,25,26,51,14,53
MSN,81.0,6003800,1445915457,117119152017.0,905056520.0,271139048.4846973,0.29958244871237133,42,11,53,15,53
DXG,23.5,20597800,1020631675,23984844362.5,606520570.0,171916579.98836544,0.28344723739273253,36,18,54,16,62
GMD,68.2,3906800,420192309,28657115473.800003,204381568.0,37329203.82529836,0.18264466894244769,8,47,55,17,92
VCB,64.9,6192300,8355675094,542283313600.6,690172340.0,201551071.0578553,0.2920300617348057,40,15,55,18,38
STB,54.2,6237400,1885215716,102178691807.2,488930306.0,129094301.8056141,0.26403415828679294,29,27,56,19,55
VPI,57.5,2755500,320049577,18402850677.5,170108578.0,33836248.4925445,0.19890971337462185,10,51,61,20,110
VNM,60.3,3516800,2089955445,126024313333.5,302885232.0,78632712.82377627,0.25961223762727487,26,36,62,21,62
HDG,30.6,5853300,369963035,11320868871.0,193716326.0,41709779.725158945,0.2153137042520564,14,49,63,22,110
GEX,51.7,6795700,902398948,46654025611.600006,527277560.0,156549341.67564887,0.29690120261451836,41,24,65,23,65
VND,24.5,28517100,1522299908,37296347746.0,1096779550.0,382068846.5442317,0.3483551881909466,58,7,65,24,43
MBB,26.65,32840700,6102272659,162625566362.35,1299423893.0,462627503.0855235,0.3560250858689755,60,5,65,25,16
DGC,95.6,1424900,379779286,36306899741.6,207399274.0,49297699.25123971,0.23769465678669496,20,46,66,26,107
LPB,42.3,2727100,2987282100,126362032829.99998,127123065.0,24658823.910622746,0.1939760019995014,9,59,68,27,71
VHM,101.4,2851500,4107412004,416491577205.6,384732514.0,110574544.61382096,0.2874062903189434,38,30,68,28,57
HSG,19.9,13794800,620982309,12357547949.099998,427717471.0,123781292.40866724,0.28939966403352096,39,29,68,29,82
HDB,31.55,13478200,3510142254,110744988113.7,569226805.0,180690832.43039808,0.3174320514129655,46,22,68,30,36
ACB,26.55,15204500,5136656599,136378232703.45,512737121.0,159050440.1041663,0.3101988008864416,44,25,69,31,27
TPB,19.45,21852800,2641956196,51386048012.2,766605911.0,262906614.25838768,0.34294884827517025,56,13,69,32,41
VCG,25.45,7570500,646468336,16452619151.2,302519549.0,86084083.08875431,0.2845570918418707,37,37,74,33,87
VCI,44.9,10043800,722600000,32444740000.0,644663485.0,221401059.8762199,0.34343663791694345,57,17,74,34,67
DXS,13.2,4319300,579103124,7644161236.799999,76988752.0,13617526.882375982,0.17687683627312184,7,68,75,35,130
VIB,21.05,10440300,3404005710,71654320195.5,358617113.0,107568015.11172108,0.29995226444121503,43,32,75,36,46
TCB,38.5,27379900,7064851739,271996791951.5,972376764.0,363999806.2865798,0.37434029664511786,68,8,76,37,13
FTS,37.8,2746000,346498009,13097624740.2,138707470.0,33184270.71555872,0.23923924728465396,21,57,78,38,120
SSB,19.65,2869100,2845000000,55904249999.99999,62334061.0,8015665.7218079865,0.12859206657188574,6,74,80,39,80
